"","OBK1122","OBK1196","OBK1253","OBK2535","OBK2535b","OBK2638","OBK2661","OBK2668","OBK2723","OBK2741","OBK2752","OBK2758","OBK2764","OBK2772","OBK2828","OBK2840","OBK2848","OBK2849","OBK2878","OBK2880","OBK2896","OBK2971","OBK3014","OBK3132","OBK3134","OBK3135","OBK3185","OBK3303","OBK3549","OBK3587","OBK3646","OBK3751","OBK3958","OBK4096","OBK4112","OBK4141","OBK4168","OBK4198","OBK4328","OBK4508","OBK4961","OBK5066"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli",1.59496,0.01813,0,57.08615,40.62468,87.70433,2.02233,0,3.69129,13.48538,0.67821,4.82847,1.81185,1.6288,4.89349,34.75418,1.42239,6.18212,0.91222,12.07423,61.14984,6.53348,78.94691,0.1504,1.74584,1.76892,3.3907,94.79974,0.68891,0,0.42584,3.83049,0.08401,0.99077,0.09322,0.20926,0,8.17791,0,0.78982,85.37404,31.88147
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii",1.31708,0,0.94391,0.0256,0.00512,0,0.48229,0,0,0.14039,0.09792,0,0.07026,0,0,0.24294,0,0.07554,0.13948,0.34512,0,0,0,0,0.05058,0,0.00877,0,0.41582,0.2464,0,0.00593,0,0,0,0.1632,0,0.17159,0.55597,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_bolteae",0.679,0.36494,0.10214,0.19176,0.06927,0,0.00218,0,0,3.45526,0,0,0,0,0,0.77894,0,0,0,0,0.04868,0.00198,0,0,0,0,0.13997,0,0,0.05919,0,0,0,0,0,0,0,0.00201,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens",0.5687,0.22842,0,0,0,0,0.1235,0,0,0,0,0,0,0,0.22777,0.00513,0.21509,0,0,0,0,0.3022,0.12533,0.35538,0,0.04008,0,0.02851,0,0,0.46011,0.0265,0,0,0,0.19481,0,0.03273,0,0,0,0.50882
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi",0.18545,0,0.1138,5.15398,4.38148,0,0,0,0,0.13478,0,0,0,0,0,0.04783,0,0,0,0,0,0,0,0,0,0,1.13291,0,0,0.00509,0,0,0,0,0,0,0,0,0.06277,0.57653,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_clostridioforme",0.12895,0,0.81506,1.36329,0.88933,0,0,0,0,0.00618,0,0,0,0,0,1.09616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25746,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini",0,25.56945,0,0,0,0,0,0,0,0,0.52505,0,0,0,0.40561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14604,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii",0,25.55164,0,0,0,0,2.52733,0,5.91486,0,6.23833,1.25509,0.39465,0,1.20346,0,2.89848,3.9923,3.05102,0,0,0,0,1.89976,7.27384,8.59286,5.77335,0,0.02468,0.50539,7.1842,1.06905,9.36643,2.8172,7.54769,0.16612,0,0,2.68849,11.99441,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",0,15.26747,23.74855,0.00973,0,0,1.37051,1.66666,9.05519,9.89997,0.21081,0.17191,0.56047,0,0.84704,33.31191,0.02581,0,1.4584,0,10.51288,0.62679,1.92395,0.01234,0.02886,0.32373,0.26621,0,0.54808,0,0.73617,0,0.01767,0.59017,0.01831,0.45544,0,3.25261,1.33327,0.2652,0,0.28157
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis",0,8.88847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02412,0,0.25436,0.0304,0,0,0,0,0,0,0,0,0,11.28274,0,0,0,0,0,0.38694,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",0,8.36888,27.1156,0.01109,0,0.71253,0.02224,0,1.44616,0.29511,1.00843,0.1516,0.97423,0,0.15134,3.79784,0.00594,2.38164,2.30462,0,0,0.07813,1.56593,0.26893,0.19852,0.17561,0.06362,0,3.24486,1.84173,0,0.24565,0.25179,0.12873,0.11153,0.40577,2.75767,0.2941,2.38423,0.27266,0,0.81235
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",0,2.54506,0.44613,0,0,0,0.0193,0,0,0,0.0159,1.4684,0.2377,0,0.17508,0,1.19078,0.19587,0.05235,0,0,0,0,0,0.01913,0.22711,0,0,0,0.00584,0.1457,0.43307,0,0.03576,0,0.67649,3.22113,5.66957,0.32618,0.13358,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta",0,1.36433,0.21802,0,0,0,0.58266,0,0,0.63473,0.00524,0.43742,0,0,0,1.33028,0,0.93971,0,0.21637,0,0,0,0,0.02088,0,5.51438,0,0.01288,0.32116,0.11259,0,0,0,0,0,0,2.33848,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis",0,1.06804,0,0,0,0.23904,1.28641,0,3.86638,0,0.60485,0.42016,0.66348,0,4.07312,0,2.36581,0.60187,1.30946,0,0,2.01827,0,0.2451,0,0.05887,0.57405,0,0.26207,0,1.20907,2.84935,0.43353,1.30612,0.20369,1.4092,8.40547,0.51779,4.80156,0.41247,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica",0,1.06737,0,0,0,0,0,0,0,2.83974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01406,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens",0,0.81253,0.02477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",0,0.62868,0,0,0,0,3.53223,0,5.37086,1.16475,2.30885,0,10.18651,0,10.34776,0,6.34521,0,0,0,0,6.64079,1.82255,0.74316,0.31924,11.19402,0.09207,0,0.41151,0,1.90504,0,4.21593,0.50554,4.26473,8.80746,0,5.15565,0,0.92006,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus",0,0.57764,0.56342,0.00108,0,0,0,0,0.24583,0,0,1.37205,0,0,0,0.01065,0,0.09674,0,0,0,0.01578,0,0,0.03405,0,0,0,0.03108,0,0,2.17702,0,0,0,0,0,2.2946,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae",0,0.43146,0.01695,0,0,0,0.1076,0,0,0.21226,0,0.63314,0,0,0,0.11859,0.06441,0.18135,0,0,0,0,0,0,0.02176,0.00176,0.94368,0,0,0.03857,0.07764,0,0,0,0,0,0,0.22356,0.08466,0.19887,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis",0,0.40506,0,0,0,0,0.00198,56.52875,0,0,0,1.18391,1.05697,80.90489,5.40352,0,0,6.09128,1.47705,62.77575,0,1.8412,0,0,11.87248,0,0,0,0,25.35713,0,0,1.34338,0,0.74763,0,0,0,0,0,12.34024,27.30885
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum",0,0.2438,0.02133,0.01313,0.06909,0,0,0,0,1.34484,0,0.55333,0,0,0,1.59475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09551,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius",0,0.19237,0.01267,0.03241,0.03281,0,0.00978,0,0.52917,0,0.18854,11.93643,0.20544,0,0,0,0.05022,1.19727,0.01132,0,0,0.0683,0.28072,0,7.32209,0.10874,0.59995,0,0,0.46893,0.00413,0.21528,2.89151,0,2.05192,0,0,0.72209,0.06187,1.82313,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified|s__Clostridiales_bacterium_1_7_47FAA",0,0.12179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_asparagiforme",0,0.0684,0,0,0,0,0.47876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus",0,0.06392,1.47198,0.56165,0.53582,0,0.07264,5.18108,0.40188,24.85231,0.24325,0,0,0,0,3.98764,0,0,0,0,0.869,0.23614,0,0,0.39294,0,0,0,0,0,3.91302,0,0,0.33983,0,0.10017,0,1.01318,0.43089,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum",0,0.02641,0,0,0,0,0.00047,0,0,0,0.53746,0,0,0,0.10074,0,0,0,0,0,0,0.00525,0,0.0169,0,0,0.16459,0,0,0,0.00906,0,0,0,0,0,0,0.0204,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_gracilis",0,0.01439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans",0,0.01183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis",0,0.01,0,0,0,0,0.05175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09415,0,0,0,0,0,0.0489,0,0,0.11753,0,0,0,0,0,0,0,0,0.22057,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus",0,0.0084,0,0,0,0,2.6393,0,4.13988,0,4.57566,3.13387,0.31258,0,0.15871,0,4.92629,5.73604,2.37525,0.46201,0,2.96974,0,1.63555,1.23765,10.51764,3.37969,0,0.01989,0.02465,5.32247,0.07346,0.3508,1.23902,0.38131,0.8322,0,3.09845,2.61764,12.39356,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis",0,0.00435,0,0,0,0,0,0,0,0,0,0.37316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis",0,0,2.23076,0,0,0,0.00788,0,0,0,0.17632,0,0,0,0,0,0.05105,0.0266,0.04753,0,0,0.06049,0,0,0.17532,0,0.0031,0,0,0.02898,0,0.18297,0,0,0,0.09474,0,2.32521,0.12064,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum",0,0,0.66584,0.12984,0.03059,0,0,0,0,6.15982,0,0,0,0,0,0.77604,0,0,0,0,0,0,0,0,0,0,2.9524,0,0,1.3934,0,0,0,0,0,0,0,0.27174,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula",0,0,0.24341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6721,0,0,0,0.19297,0.02172,0,0,0,0,0,0,0,0.14568,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae",0,0,0.16323,0.04032,0.00376,0,0,0,0,0,0,0.55088,0,0,0,0,0,0,0,0,0,0,0,0,0.10652,0,0,0,0,0,0,0,0,0.01229,0,0,0,0.03141,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans",0,0,0.15325,0,0,0,0.00286,0,0,0,0.86029,5.90377,0.30508,0,0,0,0.90224,1.12442,0.15634,0,0,0,0,0.04533,0.25553,0.81186,0,0,0,0.10633,1.82589,0.16813,0,0.72731,0,0.20658,0,1.63732,0.13229,0.73658,0,0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_concisus",0,0,0.12102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans",0,0,0.07005,0.10836,0.07324,0,0.55264,0,0,0.16287,0.01459,0.05647,0.10072,0,0.12792,0.7067,0.30461,0.08827,0.57107,1.77542,0,0,0,1.03959,0.16397,0.01696,5.2844,0,0.26838,1.64589,0.04176,0.20834,0,0,0,0.39792,0,0.27769,0.18002,0.0816,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae_CAG_59",0,0,0.0548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05",0,0,0.051,0.00878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01695,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica",0,0,0.03392,0.0142,8e-04,0,0,0,0,0,0,0.07497,0,0,0,0,0,0,0,0,0,0,0,0,2.07185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae",0,0,0.02959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii",0,0,0.02395,0.20831,0.58286,0,0,0,0,0,0,0,0.01118,0,0,0,0,0,0.07975,0,0,0,0,0.30555,0.46023,0.42168,0,0,0,0,0,0,0.06726,0.01502,0,0,0,0,0.01073,0.0367,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_saccharolyticum",0,0,0.02204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00187,0,0,0,0,0,0,0.01823,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus_pullicaecorum",0,0,0.01719,0.03789,0.02372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar",0,0,0.0116,0.00945,0,0,0,0,0,0,0,0.1088,0,0,0,0,0,0,0,0,0,0,0,0,0.93557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis",0,0,0.00433,0.00114,0.00043,0,0,0,0,0.06366,0,0,0,0,0,0,0,0,0.16802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30436,0.12907,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium",0,0,0.00251,0.00564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_aldenense",0,0,0.00212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_spiroforme",0,0,0.00105,0.0102,0.02743,0,0,0,0,0.19811,0,0.2634,0,0,0,0,0,0.0064,0.08596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccae",0,0,0,17.02857,7.74411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium",0,0,0,7.56392,26.37907,0,0,0,0,9.49477,0,0,0,0,0.05753,0,0,0,0,0,0,0,0,0.31493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum",0,0,0,4.57198,12.80287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",0,0,0,4.26381,3.50951,0.63874,3.94522,0,10.77581,0,7.80542,5.46426,9.28128,0,4.78274,0,8.63099,3.85028,5.00759,1.43794,0.35438,4.38447,2.27756,0.08884,3.42104,4.86966,0,0,0.07707,2.89812,5.73649,9.3431,2.89485,9.18688,5.68002,8.14867,4.12587,4.88178,3.32671,1.50047,0,2.85005
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii",0,0,0,0.50771,0.50587,0,0.72152,0,0,0,9.22726,0,2.09595,0,1.45781,0,0,0,12.87362,0.5557,0,0,0,25.14858,0,1.43886,0.93191,0,0.30341,0,9.12287,14.64113,0,8.72614,0.81105,12.39983,0,4.78453,0,5.73788,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus",0,0,0,0.33598,0.97762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_inops",0,0,0,0.20577,0.12185,0,0,0,0,0,0,0,0,0,0.15779,0,0,0,1.62623,0,0,0,0,0.09394,0,0,0,0,0,3.07935,0,11.53081,0,0,0,0,0,0.01294,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pickettii",0,0,0,0.04923,0,0.44444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28336,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae",0,0,0,0.0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
