"","OBK1122","OBK1196","OBK1253","OBK2535","OBK2535b","OBK2638","OBK2661","OBK2668","OBK2723","OBK2741","OBK2752","OBK2758","OBK2764","OBK2772","OBK2828","OBK2840","OBK2848","OBK2849","OBK2878","OBK2880","OBK2896","OBK2971","OBK3014","OBK3132","OBK3134","OBK3135","OBK3185","OBK3303","OBK3549","OBK3587","OBK3646","OBK3751","OBK3958","OBK4096","OBK4112","OBK4141","OBK4168","OBK4198","OBK4328","OBK4508","OBK4961","OBK5066"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",21.93525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20197,0,0.44318,0,0,0,0,34.93909,0.32397,0.16246,0,0.99691,0,0,0,0,0,1.1414,0,0,0.07677,0,0,1.87803,0.98082,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",15.91005,6.07675,25.5794,0.01418,0,7.53595,15.22549,5.34012,8.44791,0,4.64541,0.4827,11.18603,6.55045,0,0,2.59698,8.23303,0,12.08153,0,11.40383,2.84569,1.13958,0,1.71279,0,3.06887,4.17393,31.01321,5.33813,1.95317,5.99555,11.96532,2.62064,10.17991,0,6.83352,0.43458,0,0,1.19019
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_johnsonii",11.55707,0,2.59794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4604,0,0,42.32886,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum",10.54406,0,0.88697,0.32352,0.25394,0,0.06535,0,0,0.27041,0,0,0,0,0,7.40853,0,0,0,0,0,0,0,0,0,0,0.66028,0,0.05862,0,0,0,0,0,0,0,0,0,0.11723,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae",10.3816,0,0,0,0,1.57739,4.48973,0,3.54208,1.30779,0,0,3.42824,0,0,0.3867,0.85929,0,0,0,17.86691,1.15519,0.44803,0.66013,1.52394,0.21943,0.04322,0,1.22339,0,0,0.413,0,0.43842,0,0.33556,0,0.48843,0,1.13036,0,7.37912
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",8.36692,0,11.41969,0.00135,0,0,1.44747,0.44518,0,8.02817,3.15893,0.8208,11.35778,0.58323,5.3544,1.86125,10.27359,4.3809,5.91775,0,0,0,1.29861,1.1584,4.9665,0.51888,3.25586,0,1.38776,0,9.05299,11.49752,0,11.94556,0.4902,13.13301,0,3.21237,15.14106,5.76293,0,2.65497
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae",5.45887,0,0,0,0,0.11574,2.26533,0,0,0.37643,0,0.24861,0.38625,0.46865,0,0,0.73256,0,0,0,0,1.5308,1.01026,0.24578,0,0.64829,1.09018,0,0.12104,0,0,3.13681,0,0.05602,0,0,0,1.37052,2.28076,0.79789,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae",5.27509,0,0,0,0,0,0,0,0,0,0,0,0.40505,0,0,0,0,0,0,0,0,0,0,0.69983,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8331,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus",3.08262,0,0,0,0,0,0,0,1.75924,3.37555,0.32862,0,0.00198,0,0.31491,0,0.00141,0,0,0,0,0,0,0.06692,0.02103,0.15817,2.25127,0,0,0,1.84355,0,3.30071,1.86388,1.15485,0,0.32536,0.69401,0,2.456,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus",3.01432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06676,0,0.23495,0,0.26079,0,0,0,0,0,0.02815,0.01584,0,0,0.94174,0,0,0,0,0,0,0.55784,0,0,0,0,0,0
